Date ,Door TO Door,GARDEN/Biomass,PRIVATE Vehicle,TOTAL,DEBRIS C&D Waste ,Day
18-04-2021,501.555,55.140,5.330,562.025,23.265,Sunday
19-04-2021,520.435,55.360,2.570,578.365,31.030,Monday
20-04-2021,526.500,50.120,13.110,589.730,27.510,Tuesday
21-04-2021,529.005,55.815,5.255,590.075,39.285,Wednesday
22-04-2021,526.050,54.800,6.475,587.325,37.975,Thursday
23-04-2021,527.105,53.370,12.980,593.455,27.605,Friday
24-04-2021,512.775,57.025,1.380,571.180,34.410,Saturday
25-04-2021,505.215,52.755,6.825,564.795,34.660,Sunday
26-04-2021,508.650,57.375,4.345,570.370,31.485,Monday
27-04-2021,537.020,57.665,8.080,602.765,29.680,Tuesday
28-04-2021,529.775,54.845,5.820,590.440,40.160,Wednesday
29-04-2021,546.180,58.970,9.245,614.395,34.105,Thursday
30-04-2021,553.270,52.690,10.360,616.320,31.095,Friday
01-05-2021,559.300,55.610,5.235,620.145,31.935,Saturday
02-05-2021,555.350,56.000,3.245,614.595,30.915,Sunday
03-05-2021,565.130,57.360,9.115,631.605,25.080,Monday
04-05-2021,537.165,59.485,9.740,606.390,34.945,Tuesday
